visit,day_obs,seq_num,rotator_angle,science_program,band,alt,az,mjd
2026040100391,20260401,391,-59.767890897755244,BLOCK-T614_triplets,i,1.04459422554719,4.18993515497331,61132.2132390585
2026040100394,20260401,394,-59.76607120603594,BLOCK-T614_triplets,i,1.04459867731253,4.18993462284855,61132.215013469206
2026040100397,20260401,397,-59.76328533660746,BLOCK-T614_triplets,i,1.04458720593166,4.18993738990496,61132.21679597265
2026040100400,20260401,400,-59.76240217110466,BLOCK-T614_triplets,i,1.04460435819396,4.18993201595182,61132.21855214855
2026040100403,20260401,403,-59.758793682329845,BLOCK-T614_triplets,i,1.04458354721148,4.1899403198382,61132.2203241889
2026040100406,20260401,406,-59.75749902387703,BLOCK-T614_triplets,i,1.04459414271034,4.18993526306326,61132.222096173806
2026040100409,20260401,409,-59.75598076977811,BLOCK-T614_triplets,i,1.04460489921929,4.18993273874192,61132.2238631685
2026040100412,20260401,412,-59.75217703568424,BLOCK-T614_triplets,i,1.04457848857614,4.18994110868862,61132.225649020096
2026040100415,20260401,415,-59.75066818595843,BLOCK-T614_triplets,i,1.04458363757477,4.18993861109588,61132.22741614205
2026040100418,20260401,418,-59.74929501870223,BLOCK-T614_triplets,i,1.04459655042775,4.1899345614325,61132.22918914886
2026040100421,20260401,421,-59.74618281056258,BLOCK-T614_triplets,i,1.04458925316561,4.18993683371097,61132.23127909715
2026040100424,20260401,424,-59.745135938863754,BLOCK-T614_triplets,i,1.0446020847055,4.18993281256837,61132.2330504031
2026040100427,20260401,427,-59.74294794525156,BLOCK-T614_triplets,i,1.0446029726852,4.18993259164785,61132.2348130198
2026040100430,20260401,430,-59.73977197906587,BLOCK-T614_triplets,i,1.04458770004381,4.18993741769346,61132.23658751705
2026040100433,20260401,433,-59.74271301895805,BLOCK-T614_triplets,i,1.04466180509217,4.18991397722539,61132.238338555704
2026040100436,20260401,436,-59.73653421666844,BLOCK-T614_triplets,i,1.04460168760574,4.18993391152458,61132.240101794756
2026040100439,20260401,439,-59.73423629951057,BLOCK-T614_triplets,i,1.04460393962311,4.18993237257734,61132.2418847835
2026040100442,20260401,442,-59.73129166818645,BLOCK-T614_triplets,i,1.04458684494027,4.18993781474913,61132.243646098344
2026040100445,20260401,445,-59.728355863755695,BLOCK-T614_triplets,i,1.04457565905567,4.1899414374871,61132.24541253185
2026040100448,20260401,448,-59.727421829256414,BLOCK-T614_triplets,i,1.04459070004013,4.18993586783894,61132.24718255275
2026040100451,20260401,451,-59.72608990891462,BLOCK-T614_triplets,i,1.04460822469889,4.18993124242169,61132.24895644215
2026040100454,20260401,454,-59.72396447209093,BLOCK-T614_triplets,i,1.04460345299121,4.18993187982284,61132.25071498345
2026040100467,20260401,467,-15.109298710386383,BLOCK-T614_triplets,i,0.70166872753033,0.780882514717962,61132.2636504008
2026040100470,20260401,470,-15.108314211178403,BLOCK-T614_triplets,i,0.701664608590004,0.780889418387627,61132.26542089475
2026040100473,20260401,473,-15.108137459516414,BLOCK-T614_triplets,i,0.701666762579144,0.780885802086107,61132.26720548695
2026040100476,20260401,476,-15.106847602547958,BLOCK-T614_triplets,i,0.701660298210655,0.780897085219728,61132.26898815515
2026040100479,20260401,479,-15.106494357250122,BLOCK-T614_triplets,i,0.70166232540492,0.78089362788308,61132.27076894435
2026040100482,20260401,482,-15.105754911730719,BLOCK-T614_triplets,i,0.701662942433298,0.780892508210747,61132.27253727385
2026040100485,20260401,485,-15.105078597352744,BLOCK-T614_triplets,i,0.701657916951165,0.780893475585906,61132.274319595206
2026040100488,20260401,488,-15.104215745884407,BLOCK-T614_triplets,i,0.701662123576658,0.780893726645958,61132.27608479605
2026040100491,20260401,491,-15.103409140869395,BLOCK-T614_triplets,i,0.701653892021899,0.780911329408947,61132.27785718965
2026040100494,20260401,494,-15.103658357212321,BLOCK-T614_triplets,i,0.701663489415127,0.78089139967694,61132.279630280245
2026040100497,20260401,497,-15.102313333242368,BLOCK-T614_triplets,i,0.701651454060257,0.780911761286965,61132.28141645855
2026040100500,20260401,500,-15.102788447716328,BLOCK-T614_triplets,i,0.701667542279901,0.780884781754775,61132.283194561096
2026040100503,20260401,503,-15.101132178070827,BLOCK-T614_triplets,i,0.701653276286402,0.780908703260676,61132.285292966655
2026040100506,20260401,506,-15.101407508829265,BLOCK-T614_triplets,i,0.701660624201851,0.780896447529507,61132.287058042304
