state_index,seqid,raft,sensor,detector_id,detector_name,focal_x_mm,focal_y_mm,focal_r_mm
939,11154,R43,S22,188,R43_S22,169.24,296.24,341.1749
940,11159,R01,S22,8,R01_S22,-84.76,-211.76,228.0933
940,11159,R02,S12,14,R02_S12,42.24,-254.01,257.4982
940,11159,R03,S01,19,R03_S01,126.99,-296.26,322.3297
940,11159,R10,S00,27,R10_S00,-296.26,-169.26,341.2022
940,11159,R11,S11,40,R11_S11,-127.0,-127.0,179.6051
940,11159,R12,S10,48,R12_S10,-42.25,-127.0,133.8434
940,11159,R13,S21,61,R13_S21,127.0,-84.75,152.6812
940,11159,R14,S21,70,R14_S21,254.0,-84.75,267.7659
940,11159,R20,S01,73,R20_S01,-254.01,-42.26,257.5014
940,11159,R21,S10,84,R21_S10,-169.25,0.0,169.25
940,11159,R22,S02,92,R22_S02,42.25,-42.25,59.7505
940,11159,R23,S11,103,R23_S11,127.0,0.0,127.0
940,11159,R24,S02,110,R24_S02,296.25,-42.25,299.2476
940,11159,R30,S02,119,R30_S02,-211.75,84.75,228.0803
940,11159,R31,S10,129,R31_S10,-169.25,127.0,211.6
940,11159,R32,S20,141,R32_S20,-42.25,169.25,174.4438
940,11159,R33,S21,151,R33_S21,127.0,169.25,211.6
940,11159,R34,S10,156,R34_S10,211.75,127.0,246.9151
940,11159,R41,S11,166,R41_S11,-127.01,253.99,283.9762
940,11159,R42,S22,179,R42_S22,42.24,296.24,299.2363
940,11159,R43,S00,180,R43_S00,84.74,211.74,228.0673
941,11162,R01,S20,6,R01_S20,-169.26,-211.76,271.0927
941,11162,R02,S20,15,R02_S20,-42.26,-211.76,215.9357
941,11162,R03,S12,23,R03_S12,169.24,-254.01,305.2266
941,11162,R10,S21,34,R10_S21,-254.01,-84.76,267.7785
941,11162,R11,S11,40,R11_S11,-127.0,-127.0,179.6051
941,11162,R12,S01,46,R12_S01,0.0,-169.25,169.25
941,11162,R13,S11,58,R13_S11,127.0,-127.0,179.6051
941,11162,R14,S20,69,R14_S20,211.75,-84.75,228.0803
941,11162,R20,S00,72,R20_S00,-296.26,-42.26,299.2589
941,11162,R21,S10,84,R21_S10,-169.25,0.0,169.25
941,11162,R22,S21,97,R22_S21,0.0,42.25,42.25
941,11162,R23,S11,103,R23_S11,127.0,0.0,127.0
941,11162,R24,S22,116,R24_S22,296.25,42.25,299.2476
941,11162,R30,S00,117,R30_S00,-296.25,84.75,308.1341
941,11162,R31,S11,130,R31_S11,-127.0,127.0,179.6051
941,11162,R32,S00,135,R32_S00,-42.25,84.75,94.6975
941,11162,R33,S21,151,R33_S21,127.0,169.25,211.6
941,11162,R34,S01,154,R34_S01,254.0,84.75,267.7659
941,11162,R41,S01,163,R41_S01,-127.01,211.74,246.9117
941,11162,R42,S00,171,R42_S00,-42.26,211.74,215.916
941,11162,R43,S12,185,R43_S12,169.24,253.99,305.2099
942,11166,R01,S00,0,R01_S00,-169.26,-296.26,341.2022
942,11166,R02,S20,15,R02_S20,-42.26,-211.76,215.9357
942,11166,R03,S21,25,R03_S21,126.99,-211.76,246.9185
942,11166,R10,S12,32,R10_S12,-211.76,-127.01,246.9288
942,11166,R11,S21,43,R11_S21,-127.0,-84.75,152.6812
942,11166,R12,S22,53,R12_S22,42.25,-84.75,94.6975
